x	y
253.258	0.0584621
254.073	0.0595154
254.887	0.0600421
255.702	0.0610955
256.516	0.0610955
257.331	0.0626756
258.145	0.0637289
258.96	0.065309
259.774	0.066889
260.589	0.0679424
261.404	0.0689958
262.218	0.0711025
263.033	0.0732093
263.847	0.075316
264.662	0.0774228
265.476	0.0805829
266.291	0.083743
267.105	0.0863764
267.92	0.0895365
268.734	0.0921699
269.549	0.0963834
270.363	0.101124
271.178	0.104284
271.992	0.109024
272.807	0.114817
273.622	0.119558
274.436	0.125878
275.251	0.130091
276.065	0.136412
276.88	0.142732
277.694	0.148525
278.509	0.156952
279.323	0.162746
280.138	0.170119
280.952	0.177493
281.767	0.183813
282.581	0.190133
283.396	0.192767
284.211	0.211201
285.025	0.215414
285.84	0.222788
286.654	0.234375
287.469	0.240169
288.283	0.248069
289.098	0.258076
289.912	0.263869
290.727	0.27651
291.541	0.280723
292.356	0.288097
293.17	0.298631
293.985	0.304424
294.799	0.317065
295.614	0.320225
296.429	0.327598
297.243	0.336552
298.058	0.341819
298.872	0.352353
299.687	0.355513
301.316	0.370787
302.13	0.373947
302.945	0.383427
303.759	0.386587
304.574	0.390274
305.388	0.396594
306.203	0.398701
307.018	0.406074
307.832	0.407654
308.647	0.410288
309.461	0.414501
310.276	0.416081
311.09	0.418715
311.905	0.419768
312.719	0.420295
313.534	0.421348
314.348	0.422402
315.163	0.423455
315.977	0.423982
316.792	0.424508
317.607	0.424508
318.421	0.424508
319.236	0.424508
320.05	0.424508
320.865	0.424508
321.679	0.423982
322.494	0.423982
323.308	0.426088
324.123	0.427669
324.937	0.428195
325.752	0.431355
326.566	0.432409
327.381	0.435042
328.195	0.436622
329.01	0.438202
329.825	0.442942
330.639	0.445049
331.454	0.449789
332.268	0.453476
333.083	0.454529
333.897	0.46085
334.712	0.462956
335.526	0.46717
336.341	0.470857
337.155	0.472437
337.97	0.477177
338.784	0.479284
339.599	0.483497
340.414	0.486657
341.228	0.488237
342.043	0.491924
342.857	0.494031
343.672	0.495611
344.486	0.496664
345.301	0.497191
346.115	0.498244
346.93	0.502458
347.744	0.503511
348.559	0.504038
349.373	0.504565
350.188	0.505091
351.003	0.506145
351.817	0.506145
352.632	0.507198
353.446	0.507198
354.261	0.507725
355.075	0.507725
355.89	0.508251
356.704	0.509305
357.519	0.509305
358.333	0.509831
359.148	0.510358
359.962	0.510358
360.777	0.511412
361.591	0.511938
362.406	0.512992
363.221	0.514045
364.035	0.515098
364.85	0.516678
365.664	0.517732
366.479	0.519312
367.293	0.520892
368.108	0.522472
368.922	0.524052
369.737	0.526159
370.551	0.528792
371.366	0.531426
372.18	0.534059
372.995	0.536166
373.81	0.538272
374.624	0.540906
375.439	0.544066
376.253	0.546173
377.068	0.549333
377.882	0.551966
378.697	0.5546
379.511	0.558813
380.326	0.56092
381.14	0.563553
381.955	0.56724
382.769	0.569347
383.584	0.572507
384.398	0.575667
385.213	0.577774
386.028	0.580934
386.842	0.583041
387.657	0.586728
388.471	0.588308
389.286	0.590941
390.1	0.593574
390.915	0.596208
391.729	0.599368
392.544	0.600948
393.358	0.603055
394.173	0.605162
394.987	0.607268
395.802	0.610428
396.617	0.611482
397.431	0.613062
398.246	0.615169
399.06	0.616222
399.875	0.617802
400.689	0.619382
401.504	0.620962
402.318	0.622542
403.133	0.623069
403.947	0.624649
